,Unnamed: 0,Zip Code,City,Street,Lat,Lon,Trulia Est,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Cluster
125,318,95003,0,7553 Arden Way,36.96215,-121.87849,1205438.0,3.0,3.0,2027.0,363.0,1961.0,5
126,319,95003,0,7555 Arden Way,36.96186,-121.87864,1365392.0,4.0,3.0,3336.0,360.0,1969.0,1
127,322,95003,0,7559 Arden Way,36.96088,-121.87988,1152947.0,4.0,2.0,1800.0,258.0,1962.0,5
128,326,95003,0,7562 Arden Way,36.96074,-121.88965,1530736.0,3.0,2.0,1976.0,162.0,1974.0,1
129,330,95003,0,7565 Arden Way,36.96548,-121.899,1268336.0,4.0,2.0,1838.0,598.0,1940.0,5
130,333,95003,0,7570 Arden Way,36.97126,-121.89532,1002805.0,3.0,2.0,1629.0,488.0,1970.0,0
131,337,95003,0,7585 Arden Way,36.979,-121.91482,681479.0,3.0,1.5,1234.0,174.0,1983.0,3
132,340,95003,0,7586 Arden Way,37.00227,-121.85261,1458450.0,4.0,2.5,4032.0,127.0,1981.0,1
133,341,95003,0,3001 Arlington Dr,37.00319,-121.85144,851916.0,3.0,2.5,1820.0,191.0,1974.0,0
134,344,95003,0,3002 Arlington Dr,36.97191,-121.89497,1211037.0,3.0,2.5,2328.0,430.0,1992.0,5
135,347,95003,0,3003 Arlington Dr,36.99296,-121.85313,1439081.0,4.0,3.5,3118.0,369.0,2003.0,1
136,350,95003,0,3004 Arlington Dr,36.96881,-121.90063,1290722.0,2.0,2.5,1840.0,434.0,1960.0,5
137,352,95003,0,3005 Arlington Dr,36.96861,-121.90035,1573443.0,3.0,3.0,2633.0,167.0,1966.0,1
138,358,95003,0,3007 Arlington Dr,36.98412,-121.89934,860298.0,3.0,2.5,1999.0,169.0,1980.0,0
139,360,95003,0,3009 Arlington Dr,36.98566,-121.89818,986254.0,4.0,2.5,2125.0,391.0,2000.0,0
140,364,95003,0,3011 Arlington Dr,36.94817000000001,-121.86635,1306570.0,4.0,3.5,2997.0,375.0,1990.0,1
141,365,95003,0,3013 Arlington Dr,36.94807,-121.86665,1273182.0,3.0,2.5,2535.0,260.0,1988.0,5
142,371,95003,0,3015 Arlington Dr,36.98912,-121.93135,644220.0,2.0,2.0,1250.0,466.0,1984.0,3
143,374,95003,0,3017 Arlington Dr,36.98934000000001,-121.93108,671238.0,2.0,2.5,1754.0,316.0,1982.0,3
144,380,95003,0,3019 Arlington Dr,36.98639,-121.91793,1350571.0,3.0,3.5,2872.0,192.0,2004.0,1
145,381,95003,0,3022 Arlington Dr,36.98636,-121.91847,968869.0,3.0,2.5,2060.0,271.0,2000.0,0
146,383,95003,0,3023 Arlington Dr,36.98669,-121.91816,1268176.0,4.0,3.5,2766.0,291.0,2002.0,5
147,387,95003,0,3025 Arlington Dr,36.98719000000001,-121.91771,1396156.0,3.0,3.5,2890.0,332.0,2000.0,1
148,394,95003,0,3026 Arlington Dr,36.99532,-121.9299,1887446.0,4.0,3.5,3664.0,161.0,1985.0,2
149,395,95003,0,3027 Arlington Dr,36.99468,-121.93041,1887386.0,4.0,2.5,3904.0,128.0,1983.0,2
150,396,95003,0,3028 Arlington Dr,36.99388,-121.93096,2305210.0,4.0,4.0,7256.0,345.0,2004.0,2
151,397,95003,0,3030 Arlington Dr,36.94987,-121.87475,1180171.0,3.0,3.5,2343.0,146.0,1979.0,5
152,398,95003,0,3032 Arlington Dr,36.95003,-121.87457,1100000.0,3.0,4.0,2880.0,382.0,1976.0,5
153,399,95003,0,3033 Arlington Dr,36.95029,-121.87495,1297648.0,3.0,2.5,3240.0,242.0,1979.0,5
154,403,95003,0,3035 Arlington Dr,36.94999,-121.87365,1143015.0,3.0,2.0,2171.0,150.0,1978.0,5
155,404,95003,0,3037 Arlington Dr,36.95057,-121.87388,1207132.0,4.0,2.0,2375.0,154.0,1979.0,5
156,410,95003,0,3039 Arlington Dr,36.95006,-121.87297,1205589.0,3.0,2.5,2394.0,164.0,1978.0,5
157,412,95003,0,3041 Arlington Dr,36.94987,-121.87269,1421514.0,3.0,2.5,3034.0,147.0,1982.0,1
158,416,95003,0,3043 Arlington Dr,36.94992,-121.8721,1343333.0,5.0,3.5,2965.0,283.0,1982.0,1
159,421,95003,0,3045 Arlington Dr,36.94991,-121.87114,1158510.0,3.0,2.0,2160.0,197.0,1981.0,5
160,423,95003,0,3047 Arlington Dr,36.94948,-121.87094,1191717.0,4.0,2.5,2673.0,179.0,1982.0,5
161,425,95003,0,3049 Arlington Dr,36.94947,-121.8705,1182764.0,3.0,2.5,2192.0,138.0,1978.0,5
162,428,95003,0,3051 Arlington Dr,36.94958,-121.87008,1193819.0,3.0,2.0,2479.0,302.0,1978.0,5
163,432,95003,0,3052 Arlington Dr,36.95004,-121.86678,943834.0,3.0,1.5,1124.0,235.0,1989.0,0
164,433,95003,0,3053 Arlington Dr,36.95001,-121.86683,946305.0,3.0,1.5,1124.0,343.0,1988.0,0
165,435,95003,0,3054 Arlington Dr,36.94995,-121.86697,982153.0,3.0,1.5,1118.0,240.0,1988.0,0
166,436,95003,0,3055 Arlington Dr,36.94983,-121.8672,1074342.0,3.0,2.5,1584.0,363.0,1988.0,5
167,437,95003,0,3057 Arlington Dr,36.94977,-121.86732,1138399.0,2.0,3.0,1598.0,375.0,1988.0,5
168,439,95003,0,3058 Arlington Dr,36.9496,-121.8677,1133509.0,3.0,2.5,1810.0,290.0,1988.0,5
169,441,95003,0,3059 Arlington Dr,36.94955,-121.86826,1113285.0,2.0,3.0,1598.0,163.0,1988.0,5
170,443,95003,0,3060 Arlington Dr,36.94933,-121.8681,1145598.0,3.0,2.5,1810.0,185.0,1988.0,5
171,444,95003,0,3061 Arlington Dr,36.94906,-121.86736,1073586.0,3.0,2.5,1584.0,224.0,1988.0,5
172,447,95003,0,3062 Arlington Dr,36.94953,-121.8672,1184682.0,3.0,2.5,1810.0,232.0,1988.0,5
173,451,95003,0,3063 Arlington Dr,36.94965,-121.86694,1192380.0,3.0,2.5,1810.0,386.0,1988.0,5
174,454,95003,0,3065 Arlington Dr,36.94955,-121.86654,1138153.0,2.0,3.0,1598.0,371.0,1988.0,5
175,455,95003,0,3067 Arlington Dr,36.94966,-121.86646,1158628.0,3.0,2.5,1810.0,323.0,1988.0,5
176,458,95003,0,3069 Arlington Dr,37.0005,-121.89767,942087.0,3.0,1.5,1856.0,412.0,1971.0,0
177,459,95003,0,3071 Arlington Dr,37.00053,-121.89857,762438.0,3.0,2.0,1728.0,185.0,1991.0,3
178,465,95003,0,3074 Arlington Dr,36.97649000000001,-121.91358,1013634.0,3.0,2.5,1998.0,168.0,2013.0,0
