,City,Lat,Lon,Street,Trulia Est,Zip Code,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Heating Type,Parking Spots
631,0,36.975570000000005,-121.91657,140 Coates Dr,1217387,95003,2,1.5,1829,166,1973,0,1
633,0,36.9759,-121.91684,149 Coates Dr,1030492,95003,3,2.0,1732,201,1986,0,2
639,0,36.97388,-121.91348,314 Coates Dr,1083775,95003,3,2.5,1636,440,1984,0,1
647,0,36.9731,-121.91421000000001,333 Coates Dr,969070,95003,3,2.0,1578,240,1950,0,1
649,0,36.97343,-121.91462,338 Coates Dr,859944,95003,2,2.0,1188,319,1968,1,1
663,0,36.973890000000004,-121.91613999999998,409 Coates Dr,878795,95003,2,2.0,936,641,1924,3,1
685,0,36.97632,-121.88799999999999,206 Coronado Dr,880200,95003,4,2.0,1554,483,1963,0,2
687,0,36.97659,-121.88781999999999,210 Coronado Dr,877949,95003,3,2.5,1528,266,1963,0,2
689,0,36.97678,-121.88773,214 Coronado Dr,907981,95003,3,2.0,1937,142,1963,0,1
690,0,36.97728,-121.88832,217 Coronado Dr,887407,95003,3,2.0,1600,172,1972,0,2
691,0,36.97696,-121.8876,218 Coronado Dr,910224,95003,3,2.0,1729,146,1963,0,1
720,0,36.99109,-121.93212,3109 Corte Cabrillo,692921,95003,2,2.5,1228,257,1984,0,2
724,0,36.9911,-121.93226000000001,3113 Corte Cabrillo,720687,95003,3,2.5,1516,310,1984,0,2
729,0,36.99208,-121.93198000000001,3155 Corte Cabrillo,1154143,95003,3,2.5,2474,194,1997,0,2
731,0,36.99253,-121.93139,3170 Corte Cabrillo,1282764,95003,4,3.0,2605,176,1997,0,2
734,0,36.99303,-121.932,3185 Corte Cabrillo,1328606,95003,4,2.5,2894,340,1997,0,3
735,0,36.99329,-121.9318,3195 Corte Cabrillo,1443089,95003,3,3.5,2884,416,1997,0,2
737,0,36.99285,-121.93116,3210 Corte Cabrillo,1371385,95003,4,3.0,2899,317,1996,0,2
738,0,36.993140000000004,-121.93116,3215 Corte Cabrillo,1316689,95003,3,2.5,2707,217,1997,0,3
739,0,36.97493,-121.91718999999999,501 Court Way,1985967,95003,3,2.5,2285,394,1993,0,1
746,0,37.002159999999996,-121.85941000000001,600 Cox Rd,1736865,95003,4,2.5,3972,175,1992,0,2
748,0,37.00488,-121.85785,900 Cox Rd,2342574,95003,6,5.5,5237,104,1996,0,3
752,0,37.00248,-121.85715,1650 Cox Rd,985865,95003,2,2.0,2007,383,1984,0,2
753,0,37.00221,-121.85538999999999,1701 Cox Rd,1032304,95003,4,2.0,2198,362,1975,3,3
763,0,36.99773,-121.85525,2063 Cox Rd,753549,95003,3,2.0,1817,247,1974,0,2
764,0,36.99682,-121.85608,2065 Cox Rd,999923,95003,3,2.0,1988,277,1971,0,2
765,0,36.99711,-121.85491,2069 Cox Rd,728277,95003,3,2.0,1437,125,1972,0,2
766,0,36.99589,-121.85678999999999,2090 Cox Rd,783081,95003,3,3.0,1746,196,1974,0,2
769,0,36.99495,-121.85523,2175 Cox Rd,733698,95003,3,2.0,1447,484,1963,1,2
773,0,36.9944,-121.8548,2215 Cox Rd,722237,95003,3,2.0,1355,487,1973,0,2
780,0,36.97162,-121.90588999999999,168 Creek Dr,1004208,95003,3,2.5,1542,190,1984,0,1
785,0,36.96715,-121.87511,801 Cresta Vista Way,1025643,95003,3,2.5,1658,149,1979,3,1
787,0,36.96716,-121.87473,805 Cresta Vista Way,723914,95003,3,1.5,1280,254,1979,0,1
789,0,36.966840000000005,-121.87404,808 Cresta Vista Way,928819,95003,3,2.0,1871,476,1977,0,2
790,0,36.96719,-121.87427,809 Cresta Vista Way,1194187,95003,3,2.5,2600,260,1976,0,2
793,0,36.967,-121.87311000000001,819 Cresta Vista Way,911339,95003,3,2.0,1764,439,1976,0,1
795,0,36.9663,-121.87301000000001,822 Cresta Vista Way,1122789,95003,3,3.0,1730,405,1977,0,2
797,0,36.987120000000004,-121.93185,2900 Crocker Ct,652232,95003,2,2.0,1381,282,1987,0,2
811,0,36.98721,-121.93141999999999,2926 Crocker Ct,666089,95003,3,2.5,1750,138,1987,0,2
815,0,36.987109999999994,-121.93132,2930 Crocker Ct,654654,95003,2,2.0,1381,434,1987,0,2
818,0,36.96128,-121.8775,504 Cuesta Dr,1256135,95003,3,3.0,2264,149,1962,0,2
825,0,36.96237,-121.87623,522 Cuesta Dr,1459840,95003,3,2.0,2478,280,1974,0,2
827,0,36.962720000000004,-121.87635,524 Cuesta Dr,1430786,95003,3,2.5,3119,276,1962,0,2
829,0,36.96307,-121.87636,526 Cuesta Dr,1392004,95003,3,3.5,2484,453,1971,0,3
836,0,36.96419,-121.87781000000001,541 Cuesta Dr,1309718,95003,4,3.0,2782,193,1978,0,4
839,0,36.96451,-121.87811,545 Cuesta Dr,1265914,95003,3,2.5,2310,303,1966,0,2
843,0,36.96515,-121.87756999999999,550 Cuesta Dr,1086888,95003,3,2.0,1648,154,1962,0,2
845,0,36.96529,-121.87848000000001,553 Cuesta Dr,1254265,95003,3,3.0,2512,452,1979,3,2
850,0,36.966190000000005,-121.87773999999999,564 Cuesta Dr,1530588,95003,3,2.5,2436,117,2004,0,2
851,0,36.966640000000005,-121.8783,567 Cuesta Dr,1396274,95003,4,2.5,3303,157,1980,0,2
860,0,36.986990000000006,-121.91662,7109 Danko Dr,1287322,95003,3,2.5,2689,163,1989,0,2
861,0,36.987190000000005,-121.91605,7118 Danko Dr,987249,95003,4,2.5,2147,162,1988,0,2
865,0,36.98659,-121.91528000000001,7148 Danko Dr,985854,95003,3,2.0,1890,193,1994,0,2
868,0,36.99308,-121.91523000000001,131 Danube Dr,981138,95003,4,3.0,2309,396,1963,0,2
869,0,36.99326,-121.91587,132 Danube Dr,1199484,95003,4,3.0,2577,407,1963,0,2
873,0,36.99479,-121.9151,263 Danube Dr,773630,95003,3,2.0,1296,637,1963,0,2
874,0,36.995290000000004,-121.91508,297 Danube Dr,958061,95003,5,2.5,2224,254,1964,0,2
876,0,36.99584,-121.91503999999999,337 Danube Dr,952062,95003,5,2.5,2224,277,1964,0,2
877,0,36.99603,-121.91503,351 Danube Dr,977269,95003,4,2.0,1876,181,1964,0,2
879,0,36.996390000000005,-121.91498,379 Danube Dr,1005846,95003,5,2.5,2224,278,1964,0,2
880,0,36.99661,-121.91546000000001,390 Danube Dr,923345,95003,4,2.5,2065,153,1964,0,2
881,0,36.99657,-121.91496000000001,391 Danube Dr,796809,95003,3,2.0,1500,258,1963,0,2
882,0,36.99719,-121.91538999999999,432 Danube Dr,887327,95003,3,2.0,1660,187,1964,0,2
885,0,36.994957799999995,-121.85293999999999,115 Day Valley Ln,934700,95003,3,2.0,1954,174,1977,0,2
891,0,36.99391,-121.86201000000001,305 Day Valley Rd,777032,95003,3,2.5,1930,166,1985,0,2
892,0,36.99369,-121.86305,310 Day Valley Rd,722119,95003,3,2.0,1254,463,1973,0,2
894,0,36.99337,-121.86206000000001,345 Day Valley Rd,759006,95003,3,2.0,1675,167,1971,0,2
895,0,36.99261,-121.86169,429 Day Valley Rd,759535,95003,3,2.0,1642,143,1973,0,2
897,0,36.99167,-121.86204,436 Day Valley Rd,899452,95003,3,2.5,1934,499,1979,1,2
903,0,36.99367,-121.85701,775 Day Valley Rd,1428990,95003,4,2.5,3474,249,1980,0,4
905,0,36.994209999999995,-121.85605,865 Day Valley Rd,743190,95003,3,2.0,1415,565,1862,1,2
907,0,36.993990000000004,-121.85348,1000 Day Valley Rd,756263,95003,3,2.5,1725,164,1976,0,2
911,0,36.994240000000005,-121.85223,1050 Day Valley Rd,1299681,95003,4,2.5,2556,305,1999,0,2
917,0,36.9952,-121.84743,1361 Day Valley Rd,782225,95003,3,2.0,1972,140,1965,3,2
919,0,36.99361,-121.84553000000001,1530 Day Valley Rd,1298050,95003,4,2.0,2045,399,1978,0,2
920,0,36.99518,-121.84456000000002,1537 Day Valley Rd,988532,95003,4,2.5,2190,221,1979,0,2
921,0,36.995779999999996,-121.84453,1539 Day Valley Rd,1262065,95003,3,3.0,2751,213,1981,0,5
924,0,36.99299,-121.84396000000001,1600 Day Valley Rd,1277095,95003,4,2.5,2426,129,1972,0,1
926,0,36.99057,-121.84358,1686 Day Valley Rd,1401872,95003,4,2.0,2736,267,1982,0,3
931,0,36.99194,-121.84037,1785 Day Valley Rd,1378505,95003,2,2.0,2668,274,1978,3,2
935,0,36.99001,-121.84052,1880 Day Valley Rd,745002,95003,3,2.0,1644,380,1973,0,2
943,0,36.99261,-121.84935,1270 Day Valley Rdg,1150217,95003,3,3.0,2384,343,1974,3,2
944,0,36.99152,-121.84988999999999,1280 Day Valley Rdg,759356,95003,3,2.0,2670,284,1971,3,3
945,0,36.992090000000005,-121.85038999999999,1290 Day Valley Rdg,782248,95003,3,1.5,1672,227,1973,3,2
951,0,37.0008,-121.92933000000001,110 Debernardo Ln,2129060,95003,3,3.5,4829,611,1999,0,3
959,0,36.95467,-121.87783,1325 Dolphin Dr,1819842,95003,4,4.0,3611,216,1999,0,2
